C,S,L,P,T,R,Z
BONNH,BLMN,0,19.85,1,1,0
BONNH,BLMN,1,19.82,1,1,0
BONNH,BLMN,2,19.79,1,1,0
BONNH,BLMN,3,19.76,1,1,0
BONNH,BLMN,4,19.73,1,1,0
BONNH,BLMN,5,19.7,1,1,0
BONNH,BLMN,6,19.67,1,1,0
BONNH,BLMN,7,19.64,1,1,0
BONNH,BLMN,8,19.61,1,1,0
BON,PUMP,6,15.16,1,1,0
BON,PUMP,7,15.11,1,1,0
BON,PUMP,8,15.06,1,1,0
BON,SM,0,22.03,1,1,0
BON,SM,1,21.97,1,1,0
BON,SM,2,21.91,1,1,0
BON,SM,3,21.85,1,1,0
BON,SM,4,21.79,1,1,0
BON,SM,5,21.73,1,1,0
BON,SM,6,21.67,1,1,0
BON,SM,7,21.61,1,1,0
BON,SM,8,21.55,1,1,0
BON,TLRD,0,28.86,1,1,0
BON,TLRD,1,28.79,1,1,0
BON,TLRD,2,28.72,1,1,0
BON,TLRD,3,28.65,1,1,0
BON,TLRD,4,28.58,1,1,0
BON,TLRD,5,28.51,1,1,0
BON,TLRD,6,28.44,1,1,0
BON,TLRD,7,28.37,1,1,0
BON,TLRD,8,28.3,1,1,0
BON,CATM,0,24.33,1,1,0
BON,CATM,1,24.28,1,1,0
BON,CATM,2,24.23,1,1,0
BON,CATM,3,24.18,1,1,0
BON,CATM,4,24.13,1,1,0
BON,CATM,5,24.08,1,1,0
BON,CATM,6,24.03,1,1,0
BON,CATM,7,23.98,1,1,0
BON,CATM,8,23.93,1,1,0
BON,DNOW,0,13.1,1,1,0
BON,DNOW,1,13.08,1,1,0
BON,DNOW,2,13.06,1,1,0
BON,DNOW,3,13.04,1,1,0
BON,DNOW,4,13.02,1,1,0
BON,DNOW,5,13,1,1,0
BON,DNOW,6,12.98,1,1,0
BON,DNOW,7,12.96,1,1,0
BON,DNOW,8,12.94,1,1,0
BON,SRC,0,7.26,1,1,0
BON,SRC,1,7.25,1,1,0
BON,SRC,2,7.24,1,1,0
BON,SRC,3,7.23,1,1,0
BON,SRC,4,7.22,1,1,0
BON,SRC,5,7.21,1,1,0
BON,SRC,6,7.2,1,1,0
BON,SRC,7,7.19,1,1,0
BON,SRC,8,7.18,1,1,0
BON,AEE,0,55.2,1,1,0
BON,AEE,1,55.15,1,1,0
BON,AEE,2,55.1,1,1,0
BON,AEE,3,55.05,1,1,0
BON,AEE,4,55,1,1,0
BON,AEE,5,54.95,1,1,0
BON,AEE,6,54.9,1,1,0
BON,AEE,7,54.85,1,1,0
BON,AEE,8,54.8,1,1,0
BON,CMS,0,42.91,1,1,0
BON,CMS,1,42.88,1,1,0
BON,CMS,2,42.85,1,1,0
BON,CMS,3,42.82,1,1,0
BON,CMS,4,42.79,1,1,0
BON,CMS,5,42.76,1,1,0
BON,CMS,6,42.73,1,1,0
BON,CMS,7,42.7,1,1,0
BON,CMS,8,42.67,1,1,0
SV5U,DXC,0,85.9,1,3,0
SV5U,DXC,1,86.23,1,3,0
SV5U,DXC,2,86.56,1,3,0
SV5U,DXC,3,86.89,1,3,0
SV5U,DXC,4,87.22,1,3,0
SOR2,LBRT,0,21.44,1,2,1296
BON,MTDR,0,26.84,1,2,996
BONNH,MTDR,0,26.98,1,2,996
SOR2,CPE,0,10.68,1,1,0
SOR2,CPE,1,10.62,1,1,0
SOR2,CPE,2,10.56,1,1,0
SOR2,FTSI,0,17.58,1,1,0
SOR2,FTSI,1,17.49,1,1,0
SOR2,FTSI,2,17.4,1,1,0
SOR2,MTDR,0,25.34,1,1,0
SOR2,MTDR,1,25.21,1,1,0
SOR2,MTDR,2,25.07,1,1,0
SOR2,QEP,0,11.33,1,1,0
SOR2,QEP,1,11.28,1,1,0
SOR2,QEP,2,11.23,1,1,0
SOR2,RSPP,0,39.45,1,1,0
SOR2,RSPP,1,39.27,1,1,0
SOR2,RSPP,2,39.1,1,1,0
SOR2,TLRD,0,29.16,1,1,0
SOR2,TLRD,1,29.03,1,1,0
SOR2,TLRD,2,28.9,1,1,0
